condition,symptoms
Highbloodsugar(hyperglycaemia),"dry mouth,frequent urination,extreme thirst,fatigue,blurred vision,weight loss,headaches,stomach cramps,tingling hands"
Highbloodsugar(hyperglycaemia),"constant thirstiness,frequent urination,blurred vision,fatigue,weight loss,headaches,stomach discomfort,dry itchy skin"
Highbloodsugar(hyperglycaemia),"severe thirst,frequent urination,extreme fatigue,blurred eyesight,headaches,weight loss,tingling hands,stomach cramps"
Highbloodsugar(hyperglycaemia),"persistent thirst,frequent peeing,blurred vision,weight loss,fatigue,headaches,dry skin,tingling feet,stomach pain"
Highbloodsugar(hyperglycaemia),"unquenchable thirst,frequent bathroom trips,extreme fatigue,blurred eyesight,headaches,weight loss,stomach cramps"
Highbloodsugar(hyperglycaemia),"constant dry mouth,frequent urination,blurred vision,weight loss,headaches,fatigue,stomach discomfort,tingling hands"
Highbloodsugar(hyperglycaemia),"severe thirst,frequent peeing,fatigue,blurred eyesight,weight loss,headaches,tingling fingers,stomach cramps"
Highbloodsugar(hyperglycaemia),"intense thirst,frequent bathroom visits,blurred vision,fatigue,weight loss,headaches,dry skin,stomach pain"
Highbloodsugar(hyperglycaemia),"persistent thirst,frequent urination,extreme fatigue,blurred eyesight,weight loss,headaches,stomach discomfort"
Highbloodsugar(hyperglycaemia),"constant dry mouth,frequent peeing,blurred vision,weight loss,fatigue,headaches,stomach cramps"
Highbloodsugar(hyperglycaemia),"severe thirstiness,frequent bathroom visits,extreme fatigue,blurred vision,weight loss,headaches,stomach pain"
Highbloodsugar(hyperglycaemia),"unquenchable thirst,frequent urination,blurred eyesight,fatigue,weight loss,headaches,stomach cramps"
Highbloodsugar(hyperglycaemia),"persistent thirst,frequent peeing,blurred vision,weight loss,fatigue,headaches,stomach discomfort"
Highbloodsugar(hyperglycaemia),"intense thirst,frequent bathroom trips,blurred eyesight,fatigue,weight loss,headaches,stomach pain"
Highbloodsugar(hyperglycaemia),"dry mouth,frequent urination,extreme thirst,blurred vision,weight loss,fatigue,headaches"
Highbloodsugar(hyperglycaemia),"constant thirst,frequent peeing,blurred vision,fatigue,weight loss,headaches,stomach pain"
Highbloodsugar(hyperglycaemia),"severe thirst,frequent urination,blurred eyesight,weight loss,fatigue,headaches,stomach cramps"
Highbloodsugar(hyperglycaemia),"persistent thirstiness,frequent bathroom visits,blurred vision,weight loss,fatigue,headaches"
Highbloodsugar(hyperglycaemia),"intense thirst,frequent peeing,blurred eyesight,weight loss,fatigue,headaches,stomach pain"
Highbloodsugar(hyperglycaemia),"unquenchable thirst,frequent urination,blurred vision,weight loss,fatigue,headaches,stomach cramps"
Highbloodsugar(hyperglycaemia),"constant dry mouth,frequent bathroom trips,blurred eyesight,weight loss,fatigue,headaches"
Highbloodsugar(hyperglycaemia),"severe thirstiness,frequent peeing,blurred vision,weight loss,fatigue,headaches,stomach discomfort"
Highbloodsugar(hyperglycaemia),"intense thirst,frequent urination,blurred eyesight,weight loss,fatigue,headaches,stomach cramps"
Highbloodsugar(hyperglycaemia),"persistent thirst,frequent bathroom visits,blurred vision,weight loss,fatigue,headaches"
Hirschsprung's disease,"failing to pass meconium within 48 hours – the dark, tar-like poo that healthy babies pass soon after being born (although some babies later diagnosed with Hirschsprung's disease do pass meconium), a swollen belly, vomiting green or yellow-green fluid (bile)"
Huntington's disease,"difficulty concentrating and memory lapses, depression, stumbling and clumsiness, involuntary jerking or fidgety movements of the limbs and body, mood swings and personality changes, problems swallowing, speaking and breathing, difficulty moving"
Hydrocephalus,"headache, being sick, blurred vision, difficulty walking"
Hyperparathyroidism,"depression, tiredness, feeling thirsty and peeing a lot, feeling sick and losing your appetite, muscle weakness, constipation, tummy pain, loss of concentration, mild confusion"
Overactive thyroid (hyperthyroidism),"nervousness, anxiety and irritability, mood swings, difficulty sleeping, persistent tiredness and weakness, sensitivity to heat, swelling in your neck from an enlarged thyroid gland (goitre), an irregular and/or unusually fast heart rate (palpitations), twitching or trembling, weight loss"
Hypoparathyroidism,"a tingling sensation (paraesthesia) in your fingertips, toes and lips, twitching facial muscles, muscle pains or cramps, particularly in your legs, feet or tummy, tiredness, mood changes, such as feeling irritable, anxious or depressed, dry, rough skin, coarse hair that breaks easily and can fall out, fingernails that break easily"
Inflammatory bowel disease,"diarrhoea that lasts longer than 4 weeks, tummy pain, blood or mucus (clear slime) in your poo, bleeding from your bottom, feeling tired all the time, losing weight without trying"
Idiopathic pulmonary fibrosis,"shortness of breath, a persistent dry cough, tiredness, loss of appetite and weight loss, rounded and swollen fingertips (clubbed fingers)"
Intracranial hypertension,"a constant throbbing headache which may be worse in the morning, or when coughing or straining; it may improve when standing up, temporary loss of vision – your vision may become dark or ""greyed out"" for a few seconds at a time; this can be triggered by coughing, sneezing or bending down, feeling and being sick, feeling sleepy, feeling irritable, finding it difficult or painful to look at bright lights (photophobia), hearing a pulsing rhythmic noise in your ears (pulsatile tinnitus), problems with co-ordination and balance, mental confusion, loss of feeling or weakness"
Isovaleric acidaemia,"developing a distinctive odour of ""sweaty feet"", poor feeding or loss of appetite, weight loss"
Japanese encephalitis,"a headache, a high temperature, feeling or being sick, tummy pain"
Jet lag,"difficulty sleeping at bedtime and waking up in the morning, tiredness and exhaustion, difficulty staying awake during the day, poor sleep quality, concentration and memory problems"
Joint hypermobility syndrome,"often get tired, even after rest, keep getting pain and stiffness in your joints or muscles, keep getting sprains and strains, keep dislocating your joints (they ""pop out""), have poor balance or co-ordination, have thin, stretchy skin, have bladder or bowel problems"
Kidneyinfection,"needing to pee suddenly or more often than usual, pain or a burning sensation when peeing, smelly or cloudy pee, blood in your pee"
Kidneyinfection,"needingtopeesuddenly,peeingmoreoften,painorburningsensationwhenpeeing,cloudypee,bloodinpee,smellyurine,fever,chills,lowerbackpain,nausea,vomiting,fatigue"
Kidneyinfection,"frequenturination,suddenurgetopee,burningwhileurinating,darksmellyurine,abdominalpain,fever,shivering,lowerbackpain,loss of appetite,tiredness,nausea,vomiting"
Kidneyinfection,"urgencytopee,frequentpeeing,cloudypee,strongurineodor,pelvicpain,paininlowerback,highfever,chills,sweating,weakness,nausea,vomiting,loss of appetite"
Kidneyinfection,"suddenneedtopee,sharpburningpainwhenpeeing,smellyurine,cloudyurine,bloodinpee,fever,backpain,shivering,chills,fatigue,nausea,loss of appetite"
Kidneyinfection,"frequenturination,pelvicpressure,lowerbackpain,cloudyandstrongsmellingurine,highfever,severechills,vomiting,loss of appetite,fatigue,sharpabdominalpain"
Kidneyinfection,"suddenstrongurgetopee,burningpeeing,darkurine,strongodor,nausea,severebackpain,chills,fever,fatigue,vomiting,bloodinurine,pelvicdiscomfort"
Kidneyinfection,"burningurination,frequenturination,cloudystrong-smellingpee,lowerbackpain,abdominalpain,highfever,severechills,vomiting,tiredness,dizziness,loss of appetite"
Kidneyinfection,"smellyurine,burningwhilepeeing,lowerabdominalpain,shivering,chills,fever,persistenturgeurination,fatigue,vomiting,dizziness,nausea,painbelowribs"
Kidneyinfection,"suddenurgepeeing,painfulurination,smellycloudypee,bloodinurine,severeflankpain,shivering,highfever,nausea,fatigue,vomiting,abdominaldiscomfort,dizziness"
Kidneyinfection,"painpeeing,frequenturination,lowerbackpain,strongsmellingurine,bloodinpee,highfever,chills,lossofappetite,nausea,vomiting,tiredness,darkurine"
Kidneyinfection,"constantneedtopee,burningurination,cloudyurine,foulodor,backpain,severeabdominalpain,highfever,chills,nausea,vomiting,weakness,dizziness"
Kidneyinfection,"suddendurgetopee,burningurine,darkurine,cloudypee,bloodinurine,lowerbackpain,highfever,severechills,nausea,vomiting,fatigue,dizziness"
Kidneyinfection,"strongsmellingurine,frequentpeeing,painwheneverurinating,shakingchills,highfever,severebackpain,nausea,vomiting,fatigue,loss of appetite,cloudyurine"
Kidneyinfection,"severeburningpeeing,urinaryfrequency,cloudypee,strongodor,bloodinurine,highfever,shakingchills,nausea,vomiting,flankpain,fatigue"
Kidneyinfection,"painandburningurination,urgentneedtopee,smellyurine,cloudyurine,severebackpain,highfever,chills,nausea,weakness,vomiting,pelvicpressure"
Kidneyinfection,"lowerbackpain,pelvicpain,frequenturination,cloudypee,foulodor,burningwhenpeeing,highfever,shivering,chills,tiredness,nausea,vomiting"
Kidneyinfection,"suddendurgetopee,painfulurination,cloudypee,bloodinurine,highfever,chills,shaking,sweating,flankpain,nausea,vomiting,dizziness,fatigue"
Kidneyinfection,"urinaryfrequency,strongurgency,cloudyandstrongsmellingpee,abdominalpain,flankpain,highfever,chills,weakness,nausea,vomiting"
Kidneyinfection,"burningurination,frequentneedtopee,smellycloudypee,shivering,fever,backpain,weakness,fatigue,nausea,vomiting,headache,abdominaldiscomfort"
Kidneyinfection,"bloodinpee,painwhenurinating,urinaryfrequency,strongodor,cloudypee,severebackpain,fever,shakingchills,fatigue,vomiting,nausea"
Kidneyinfection,"severeurgencytopee,lowerbackpain,cloudystrongsmellingurine,highfever,severechills,nausea,vomiting,weakness,dizziness,abdominalpain"
Kidneyinfection,"sharpbackpain,persistentneedtopee,painfulurination,cloudypee,strongodor,highfever,chills,shaking,fatigue,vomiting,nausea"
Kidneyinfection,"darkurine,strongurineodor,bloodinurine,frequentpeeing,pelvicpain,lowerbackpain,highfever,severechills,nausea,vomiting,dizziness,fatigue"
Kidneyinfection,"burningpeeing,frequenturination,cloudypee,strongodor,persistentlowerbackpain,highfever,shakingchills,nausea,vomiting,abdominaldiscomfort"
Kidneyinfection,"bloodinurine,cloudypee,urinarypain,frequentpeeing,strongodor,severebackpain,highfever,chills,sweating,nausea,vomiting,fatigue"
Kidneyinfection,"urinarypain,constanturge,cloudypee,bloodinurine,strongodor,fever,shivering,chills,abdominalpain,nausea,vomiting,tiredness"
Kidneyinfection,"flankpain,constantneedtopee,painwhilepeeing,cloudystrong-smellingurine,highfever,severechills,nausea,vomiting,weakness,dizziness"
Kidneyinfection,"persistentburningurination,strongurgency,cloudyurine,bloodinpee,highfever,shakingchills,severebackpain,abdominaldiscomfort,vomiting,fatigue"
Kidneyinfection,"paininlowerabdomen,frequenturination,cloudypee,strongsmell,burningwhenpeeing,fever,chills,nausea,vomiting,weakness,dizziness"
Kidneyinfection,"frequenturgepeeing,pelvicpressure,cloudyodorousurine,flankpain,fever,severechills,nausea,vomiting,tiredness,sweating,dizziness"
Kidneyinfection,"painandburningwhilepeeing,urinaryurgency,bloodinurine,strongodor,cloudypee,highfever,shakingchills,severebackpain,nausea,vomiting"
Kidneyinfection,"lowerbackpain,flankpain,constanturgepeeing,painfulurination,cloudypee,highfever,shakingchills,nausea,vomiting,weakness,dizziness"
Kidneyinfection,"strongsmellingpee,frequenturination,sharpabdominalpain,pelvicpressure,cloudyurine,highfever,severechills,nausea,vomiting,fatigue"
Kidneyinfection,"suddenurgepeeing,burningpainwhileurinating,cloudystrong-smellingpee,fever,shivering,chills,backpain,nausea,vomiting,dizziness,fatigue"
Kidneyinfection,"flankpain,severeurgencytopee,burningurination,strongsmellingurine,highfever,chills,shivering,nausea,vomiting,fatigue,dizziness"
Kidneystones,"pain in the side of your tummy (abdomen), severe pain that comes and goes, feeling sick or vomiting"
Kidneystones,"severesidepain,sharpabdominalpain,painradiatingtothegroin,constanturgeurination,burningurination,nausea,vomiting,bloodinurine,cloudyurine,strongurineodor"
Kidneystones,"intensepaininthesideandtummy,severebackpain,painspreadingtothegroin,frequenturination,burningwhenurinating,bloodinurine,nausea,vomiting,sweating,chills"
Kidneystones,"severeflankpain,sharpwavesofpain,movingsidepain,bloodinpee,cloudyurine,urinaryurgency,painwhenpeeing,nausea,vomiting,feelingrestless,lowerbackpain"
Kidneystones,"suddenintensepaininabdomen,sharpflankpain,severepelvicpain,persistenturgeurination,cloudystrongsmellingurine,nausea,vomiting,shivering,restlessness"
Kidneystones,"severesideandtummypain,painradiatingtolowerbackandgroin,urinarydiscomfort,frequentpeeing,bloodinurine,nausea,vomiting,sweating,chills,fatigue"
Kidneystones,"wavesofintensepaininsideandlowerback,sharpcrampingpain,feelingtheneedtopeeconstantly,painfulurination,urinewithblood,cloudyurine,strongodor,nausea,vomiting"
Kidneystones,"suddenseverepaininabdomen,sharpbackpain,persistenturgeurination,bloodinpee,cloudystrongsmellingurine,nausea,vomiting,chills,sweating,weakness"
Kidneystones,"unbearablesharpbackpain,severesidepain,migratingpainfrombacktothegroin,painfulurination,frequenturination,bloodinurine,nausea,vomiting,shivering"
Kidneystones,"excruciatingpaininsideandtummy,shootingpainthroughlowerabdomen,paininthelowerback,urinaryburning,strongsmellingurine,nausea,vomiting,chills,fever"
Kidneystones,"intensecolickyabdominalpain,sharpstomachcramps,persistenturgeurination,darkcloudyurine,burningurination,nausea,vomiting,sweating,fatigue,chills"
Kidneystones,"sharpwavesofpaininside,painshootingtothegroin,backache,severeurinarydiscomfort,bloodinpee,cloudyurine,strongodor,nausea,vomiting,shivering"
Kidneystones,"intermittentseverepaininabdomen,sharpwavesofflankpain,constanturgepeeing,painwhenurinating,bloodinpee,cloudyurine,strongodor,nausea,vomiting,chills"
Kidneystones,"suddensharpbackpain,flankpainmovingtowardsthegroin,frequenturination,cloudyurine,strongodor,painwhenurinating,bloodinpee,nausea,vomiting,shaking"
Kidneystones,"excruciatingpaininthesideandtummy,lowerbackpain,groinpain,persistentpeeurge,burningurination,darksmellingurine,nausea,vomiting,chills,weakness"
Kidneystones,"colickyabdomenpain,stabbingflankpain,movingsidepain,severepelvicpain,urinaryfrequency,burningurination,bloodinpee,nausea,vomiting,feelingfeverish"
Kidneystones,"crampingpaininthesideandback,wave-likepain,frequenturination,bloodinurine,cloudystrongsmellingpee,burningurination,nausea,vomiting,sweating,shivering"
Kidneystones,"suddenseverepainintheabdomen,shootingbackpain,severelowergroinpain,painfulurination,cloudypee,frequentpeeing,bloodinurine,nausea,vomiting,shaking"
Kidneystones,"sharpintermittentpaininsideandtummy,severebackpain,painmigratingtogroin,burningpeeing,darkstrong-smellingurine,bloodinpee,nausea,vomiting,chills"
Kidneystones,"severeflankpain,lowerabdominalcramps,shootingpainsinthelowerbackandgroin,urinaryburning,strongsmellingurine,nausea,vomiting,chills,shaking,sweating"
Kidneystones,"intensebackpain,severelowerstomachpain,sharpgroinpain,persistentneedtopee,painfulurination,darksmellingurine,nausea,vomiting,shivering,dizziness"
Kidneystones,"wavesofseverepaininsideandtummy,sharpgroinpain,frequenturination,cloudyandstrong-smellingurine,burningurination,nausea,vomiting,sweating,chills"
Kidneystones,"colickysharpabdominalpain,persistentflankpain,groinpain,frequenturination,cloudypee,bloodinurine,nausea,vomiting,shivering,fatigue"
Kidneystones,"severepaininthesideandtummy,crampingpelvicpain,movingpainfrombacktogroin,constanturgeurination,painwhenpeeing,cloudyurine,nausea,vomiting,chills"
Kidneystones,"sharpabdominalpain,persistentsidepain,painradiatingtothegroin,constanturgepeeing,bloodinurine,cloudystrongsmellingpee,nausea,vomiting,sweating,chills"
Kidneystones,"sharpstabbingflankpain,severepelvicpain,wavesofpaininsideandlowerback,frequenturination,burningurination,cloudyurine,strongodor,nausea,vomiting"
Kidneystones,"severepainmovingfrombacktogroin,excruciatingabdominalpain,persistenturgeurination,bloodinpee,cloudyurine,nausea,vomiting,weakness,shivering"
Kidneystones,"suddenflankpain,sharpstomachcramps,persistenturgepeeing,cloudystrongsmellingurine,burningurination,nausea,vomiting,sweating,fatigue,chills"
Kidneystones,"severelowerbackpain,flankpainradiatingtogroin,wave-likeintensepain,frequenturination,burningwhilepeeing,cloudyurine,bloodinpee,nausea,vomiting,shivering"
Kidneystones,"extremesidepain,severebackpain,intermittentpelvicpain,constanturinaryurgency,bloodinurine,strongodor,cloudypee,nausea,vomiting,shivering,sweating"
Kidneystones,"severeflankpain,sharpwavesofpain,lowerbackpain,urinaryurgency,burningurination,cloudyurine,strongodor,nausea,vomiting,shivering"
Klinefelter syndrome,"in babies and toddlers – weak muscles and very flexible (hypermobile) joints, learning to sit up, crawl, walk and talk later than usual, being quieter and more passive than usual, having undescended testicles, only one testicle, or a smaller penis, in childhood – shyness and low self-confidence, problems with reading, writing, spelling and paying attention, mild dyslexia or dyspraxia, low energy levels, and difficulty socialising or expressing feelings, in teenagers – growing taller than expected for the family (with long arms and legs), broad hips, poor muscle tone and slower than usual muscle growth, reduced facial and body hair that starts growing later than usual, small, firm testes, and enlarged breasts (gynaecomastia), in adulthood – inability to have children naturally (infertility), low sex drive, small, firm testes, and erection problems."
Lambert-Eaton myasthenic syndrome,"aching muscles, feeling very tired all the time (fatigue), difficulty walking and climbing stairs, difficulty lifting objects or raising the arms, drooping eyelids, dry eyes and blurred vision, swallowing problems, dizziness upon standing, a dry mouth, constipation, erectile dysfunction, muscle weakness that gets worse with time"
Laryngeal (larynx) cancer,"a change in your voice, such as sounding hoarse, pain when swallowing or difficulty swallowing, a lump or swelling in your neck, a long-lasting cough or breathlessness, a persistent sore throat or earache, a high-pitched wheezing noise when you breathe, in severe cases, difficulty breathing"
Leptospirosis (Weil's disease),"high temperature, headache, body aches and pain, tummy ache, feeling sick or being sick, diarrhoea, redness in the white part of your eyes, yellowing of the skin (which may be harder to see on black or brown skin) or white part of the eyes (jaundice)"
Listeriosis,"a high temperature, aches and pains, chills, feeling or being sick, diarrhoea"
Liverdisease,"feeling very tired and weak all the time, loss of appetite – which may lead to weight loss, loss of sex drive (libido), yellow skin and whites of the eyes (jaundice), itchy skin, feeling or being sick"
Liverdisease,"feeling very tired and weak all the time, loss of appetite, weight loss, yellow skin and eyes, persistent nausea, itchy skin, abdominal swelling, dark urine, pale stools, bloating, easy bruising"
Liverdisease,"constant fatigue, reduced appetite, jaundice, nausea, vomiting, swollen abdomen, itchy skin, frequent nosebleeds, dark-colored urine, pale stools, swelling in legs"
Liverdisease,"extreme tiredness, loss of interest in food, persistent nausea, vomiting, yellowing of skin and eyes, unexplained weight loss, bloated stomach, itchy rash, pain in upper right abdomen"
Liverdisease,"persistent weakness, extreme fatigue, yellowish skin, dark urine, pale-colored stools, nausea, vomiting, abdominal swelling, loss of sex drive, easy bruising, loss of muscle mass"
Liverdisease,"constant exhaustion, loss of appetite, weight dropping, itchy dry skin, jaundice, nausea, swelling in feet, confusion, memory problems, pain in the right side of the abdomen"
Liverdisease,"yellowing of skin and eyes, persistent vomiting, dark urine, light-colored stools, swollen belly, excessive tiredness, loss of muscle mass, nausea, unexplained itching, dizziness"
Liverdisease,"loss of energy, feeling sick frequently, weight loss, swollen ankles, dark urine, itchy skin, nausea, vomiting, jaundice, abdominal pain, muscle cramps, confusion"
Liverdisease,"prolonged fatigue, loss of appetite, constant nausea, yellowish skin and eyes, dark urine, bloating, easy bruising, severe itching, pain in the abdomen, muscle weakness"
Liverdisease,"unusual tiredness, extreme weakness, skin turning yellow, frequent nausea, vomiting, dark urine, pale stools, swelling in abdomen and legs, severe itching, confusion"
Liverdisease,"jaundice, persistent nausea, vomiting, weight loss, skin and eye yellowing, swollen legs, easy bruising, lack of appetite, severe fatigue, pain under ribs, loss of muscle"
Liverdisease,"constant weakness, yellowish skin and eyes, nausea, dark-colored urine, pale stools, itchy skin, swelling in the stomach, persistent tiredness, muscle cramps, abdominal discomfort"
Liverdisease,"lack of energy, loss of appetite, frequent nausea, yellowish eyes and skin, itchy patches, dark urine, pale-colored stools, vomiting, swollen feet, bloating"
Liverdisease,"fatigue, reduced appetite, swelling in abdomen, nausea, itchy skin, yellowish discoloration of skin and eyes, vomiting, dark urine, pale-colored stools, pain in upper abdomen"
Liverdisease,"severe exhaustion, skin turning yellow, swollen stomach, lack of appetite, nausea, vomiting, itchy skin, excessive bruising, muscle loss, dark urine, confusion"
Liverdisease,"prolonged tiredness, weight loss, bloating, dark-colored urine, pale stools, severe itching, nausea, abdominal pain, vomiting, jaundice, swelling in legs"
Liverdisease,"fatigue, persistent nausea, loss of appetite, jaundice, abdominal swelling, pale stools, dark urine, itchy skin, weight loss, pain in upper abdomen"
Liverdisease,"yellowing of skin and eyes, extreme weakness, swollen belly, itchy skin, nausea, weight loss, vomiting, dark urine, pale stools, severe fatigue"
Liverdisease,"persistent tiredness, loss of sex drive, abdominal discomfort, nausea, vomiting, itchy skin, yellowing of skin and eyes, dark urine, swollen legs, bloating, confusion"
Liverdisease,"constant exhaustion, reduced appetite, nausea, bloating, severe itching, jaundice, dark urine, light stools, unexplained bruising, swollen stomach"
Liverdisease,"weakness, extreme fatigue, nausea, loss of appetite, yellow skin, yellowish whites of eyes, swollen feet, severe itching, vomiting, pale stools, dark urine"
Liverdisease,"persistent weakness, yellowing skin, bloated belly, nausea, vomiting, itchy skin, loss of appetite, swollen feet, dark-colored urine, abdominal pain"
Liverdisease,"constant tiredness, frequent vomiting, dark urine, yellowing of eyes, loss of appetite, nausea, swollen abdomen, severe itching, easy bruising, muscle cramps"
Liverdisease,"excessive fatigue, weight loss, yellow skin, swollen legs, nausea, vomiting, dark urine, bloating, pale stools, severe itching, loss of appetite"
Liverdisease,"weakness, loss of energy, yellowing skin and eyes, nausea, vomiting, swollen belly, itchy skin, dark urine, pale stools, pain in upper right abdomen"
Liverdisease,"persistent nausea, vomiting, jaundice, dark urine, pale-colored stools, bloating, swollen feet, loss of appetite, severe tiredness, easy bruising, confusion"
Liverdisease,"severe tiredness, weight loss, nausea, vomiting, dark-colored urine, pale stools, swollen belly, itchy skin, loss of sex drive, memory issues, swelling in legs"
Liverdisease,"chronic fatigue, loss of appetite, yellow skin and whites of eyes, bloating, nausea, vomiting, dark urine, pale stools, itchy patches, swollen feet"
Liverdisease,"skin turning yellow, extreme tiredness, loss of appetite, nausea, vomiting, abdominal pain, swollen feet, itchy skin, dark urine, pale stools, muscle loss"
Liverdisease,"loss of energy, skin yellowing, loss of appetite, nausea, vomiting, bloated belly, dark urine, pale stools, itchy skin, easy bruising, swelling in feet"
Liverdisease,"constant exhaustion, severe itching, yellowish skin and eyes, vomiting, nausea, swollen legs, pale stools, dark urine, weight loss, bloating, loss of muscle mass"
Liverdisease,"frequent nausea, vomiting, yellowing of skin, bloated belly, loss of appetite, dark urine, pale stools, excessive itching, fatigue, weakness, muscle pain"
Liverdisease,"abdominal discomfort, yellow skin and eyes, nausea, vomiting, itchy skin, bloating, weight loss, dark urine, pale stools, swelling in legs, loss of appetite"
Liverdisease,"severe fatigue, swelling in feet, bloating, nausea, vomiting, pale stools, dark urine, yellow skin, frequent bruising, loss of appetite, confusion"
Liverdisease,"weakness, constant nausea, vomiting, dark urine, yellow skin and eyes, bloating, itchy patches, weight loss, loss of appetite, easy bruising"
Liverdisease,"extreme tiredness, swollen abdomen, dark-colored urine, nausea, vomiting, jaundice, pale stools, itchy skin, bloating, weakness, loss of sex drive"
Liverdisease,"chronic nausea, vomiting, yellowing of skin and eyes, bloated belly, itchy skin, dark urine, pale stools, loss of appetite, severe tiredness, easy bruising"
Long QT syndrome,"fainting, a seizure or fit, a cardiac arrest (where your heart beats so fast that not enough blood gets to your brain, so you become unconscious and stop breathing)"
Lyme disease,"a high temperature, or feeling hot and shivery, headache, muscle and joint pain, tiredness and loss of energy"
Lymphoedema,"an aching, heavy feeling, difficulty with movement, repeated skin infections, developing hard, tight or thickened skin, folds developing in the skin, wart-like growths developing on the skin, fluid leaking through the skin"
Malaria,"a high temperature, sweats and chills, headaches and feeling confused, feeling very tired and sleepy (especially in children), feeling and being sick, tummy pain and diarrhoea, loss of appetite, muscle pains, yellow skin or whites of the eyes, a sore throat, cough and difficulty breathing"
Mastocytosis,"skin reactions – such as itching and flushing, gut symptoms – such as diarrhoea and vomiting, muscle and joint pain, mood changes, headaches and tiredness (fatigue)"
MCADD,"irritability, poor feeding, sleepiness, floppiness, breathing difficulties, vomiting, seizures (fits), coma"
Meningitis,"a high temperature (fever), being sick, a headache, a rash that does not fade when a glass is rolled over it (but a rash will not always develop), a stiff neck, a dislike of bright lights, drowsiness or unresponsiveness, seizures (fits)"
Mesothelioma,"chest pain, shortness of breath, fatigue (extreme tiredness), a high temperature and sweating, particularly at night, a persistent cough, loss of appetite and unexplained weight loss, clubbed (swollen) fingertips"
Middle East respiratory syndrome (MERS),"a high temperature, a cough, shortness of breath or difficulty breathing"
Motor neurone disease,"weakness in your ankle or leg – you might trip, or find it harder to climb stairs, slurred speech, which may develop into difficulty swallowing some foods, a weak grip – you might drop things, or find it hard to open jars or do up buttons, muscle cramps and twitches, weight loss – your arms or leg muscles may have become thinner over time, difficulty stopping yourself from crying or laughing in inappropriate situations"
Mpox,"a high temperature (fever), a headache, muscle aches, backache, swollen glands, shivering (chills), exhaustion, joint pain"
MRSA,"is painful and swollen, feels warm when you touch it, leaks pus or liquid, looks red – though this may be harder to see on brown or black skin"
Mucositis,"a dry mouth, a sore mouth, which can make eating and drinking painful, mouth ulcers, bad breath, a fungal mouth infection (oral thrush)"
Multiple myeloma,"a persistent bone pain, usually in the back, ribs or hips, tiredness, weakness and shortness of breath – caused by anaemia, high levels of calcium in the blood (hypercalcaemia) – which may cause symptoms including extreme thirst, stomach pain, needing to pee frequently, constipation or confusion, weight loss, blurred vision, dizziness or headaches – caused by thickened blood (hyperviscosity), repeated infections, bruising and unusual bleeding – such as frequent nosebleeds, bleeding gums and heavy periods, weak bones that break (fracture) easily – if this affects the spine, it might cause symptoms such as pins and needles, numbness and weakness in the legs and feet, and problems controlling your bladder and bowels, which requires emergency investigation, kidney problems"
Multiple sclerosis,"feeling extremely tired (fatigue), problems with your eyes or your vision, such as blurred vision or eye pain, numbness or a tingling feeling in different parts of the body, feeling off balance, dizzy or clumsy (uncoordinated), muscle cramps, spasms and stiffness, needing to pee more often or not being able to control when you pee, problems with memory or concentration, sexual problems, including a dry vagina or erection problems"
Multiple system atrophy,"constantly feeling the need to pee, peeing more frequently, loss of bladder control, unable to empty the bladder properly, unable to pee"
Myasthenia gravis,"droopy eyelids, double vision, difficulty making facial expressions, problems chewing and difficulty swallowing, slurred speech, weak arms, legs or neck, shortness of breath and occasionally serious breathing difficulties"
Myelodysplastic syndrome (myelodysplasia),"weakness, tiredness and occasional breathlessness (because of the low number of red blood cells), frequent infections (because of the low number of white blood cells), bruising and easy bleeding, such as nosebleeds (because of the low number of platelets)"
Nail patella syndrome,"increased pressure in the eyes (glaucoma) which can develop at an earlier age than usual, numbness, tingling or a burning sensation in the hands and feet, poor blood circulation in the hands and feet, constipation or irritable bowel syndrome (IBS), difficulty putting on weight, particularly muscle, thin bones (osteoporosis), particularly in the hips, a high forehead and hairline"
Nasal and sinus cancer,"a blocked nose that does not go away and usually only affects 1 side, nosebleeds, a decreased sense of smell, mucus running from your nose – this can be bloody, mucus draining into the back of your nose and throat"
Nasopharyngeal cancer,"a lump in the neck that doesn’t go away after 3 weeks, hearing loss (usually only in 1 ear), tinnitus (hearing sounds that come from inside the body rather than from an outside source), a blocked or stuffy nose (usually only blocked on 1 side), nosebleeds, headaches, double vision, numbness in the bottom part of your face, swallowing problems, a hoarse voice, unintentional weight loss"
Neurofibromatosis type 1,"birthmarks known as café au lait spots, which are light or dark brown patches that can be anywhere on the body, soft, non-cancerous tumours on or under the skin (neurofibromas), clusters of freckles in unusual places – such as the armpits, groin and under the breast, problems with the bones, eyes and nervous system"
Neurofibromatosis type 2,"hearing loss that gradually gets worse over time, hearing ringing or buzzing in the ears (tinnitus), balance problems – particularly when moving in the dark or walking on uneven ground"
Neuromyelitis optica (NMO),"eye pain and problems with your eyesight or your colour vision, in one or both eyes, sharp, burning or shooting pain (nerve pain) in your back, neck, arms or legs, weakness, numbness or paralysis in your arms or legs, muscle spasms (where your muscles suddenly tighten), problems with your bladder and bowels, such as incontinence, constipation or not being able to pee, sexual problems, such as not being able to get an erection or reach orgasm, vomiting and hiccups"
Newborn respiratory distress syndrome,"blue-coloured lips, fingers and toes, rapid, shallow breathing, flaring nostrils, a grunting sound when breathing"
